rank,pokemon_name,type,total_power,hit_points,attack,defense,special_attack,special_defense,speed,icon,details_link
025,Pikachu-Partner Pikachu,Electric,430,45,80,50,75,60,120,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,https://pokemondb.net/pokedex/pikachu
026,Raichu,Electric,485,60,90,55,90,80,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,https://pokemondb.net/pokedex/raichu
026,Raichu-Alolan Raichu,"Electric,Psychic",485,60,85,50,95,85,110,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,https://pokemondb.net/pokedex/raichu
027,Sandshrew,Ground,300,50,75,85,20,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,https://pokemondb.net/pokedex/sandshrew
027,Sandshrew-Alolan Sandshrew,"Ice,Steel",300,50,75,90,10,35,40,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,https://pokemondb.net/pokedex/sandshrew
028,Sandslash,Ground,450,75,100,110,45,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,https://pokemondb.net/pokedex/sandslash
028,Sandslash-Alolan Sandslash,"Ice,Steel",450,75,100,120,25,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,https://pokemondb.net/pokedex/sandslash
029,Nidoran♀,Poison,275,55,47,52,40,40,41,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,https://pokemondb.net/pokedex/nidoran-f
030,Nidorina,Poison,365,70,62,67,55,55,56,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,https://pokemondb.net/pokedex/nidorina
031,Nidoqueen,"Poison,Ground",505,90,92,87,75,85,76,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,https://pokemondb.net/pokedex/nidoqueen
032,Nidoran♂,Poison,273,46,57,40,40,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,https://pokemondb.net/pokedex/nidoran-m
033,Nidorino,Poison,365,61,72,57,55,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,https://pokemondb.net/pokedex/nidorino
034,Nidoking,"Poison,Ground",505,81,102,77,85,75,85,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,https://pokemondb.net/pokedex/nidoking
035,Clefairy,Fairy,323,70,45,48,60,65,35,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,https://pokemondb.net/pokedex/clefairy
036,Clefable,Fairy,483,95,70,73,95,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,https://pokemondb.net/pokedex/clefable
037,Vulpix,Fire,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,https://pokemondb.net/pokedex/vulpix
037,Vulpix-Alolan Vulpix,Ice,299,38,41,40,50,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix-alolan.png,https://pokemondb.net/pokedex/vulpix
038,Ninetales,Fire,505,73,76,75,81,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales.png,https://pokemondb.net/pokedex/ninetales
038,Ninetales-Alolan Ninetales,"Ice,Fairy",505,73,67,75,81,100,109,https://img.pokemondb.net/sprites/sword-shield/icon/ninetales-alolan.png,https://pokemondb.net/pokedex/ninetales
039,Jigglypuff,"Normal,Fairy",270,115,45,20,45,25,20,https://img.pokemondb.net/sprites/sword-shield/icon/jigglypuff.png,https://pokemondb.net/pokedex/jigglypuff
040,Wigglytuff,"Normal,Fairy",435,140,70,45,85,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/wigglytuff.png,https://pokemondb.net/pokedex/wigglytuff
041,Zubat,"Poison,Flying",245,40,45,35,30,40,55,https://img.pokemondb.net/sprites/sword-shield/icon/zubat.png,https://pokemondb.net/pokedex/zubat
042,Golbat,"Poison,Flying",455,75,80,70,65,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/golbat.png,https://pokemondb.net/pokedex/golbat
043,Oddish,"Grass,Poison",320,45,50,55,75,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/oddish.png,https://pokemondb.net/pokedex/oddish
044,Gloom,"Grass,Poison",395,60,65,70,85,75,40,https://img.pokemondb.net/sprites/sword-shield/icon/gloom.png,https://pokemondb.net/pokedex/gloom
045,Vileplume,"Grass,Poison",490,75,80,85,110,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/vileplume.png,https://pokemondb.net/pokedex/vileplume
046,Paras,"Bug,Grass",285,35,70,55,45,55,25,https://img.pokemondb.net/sprites/sword-shield/icon/paras.png,https://pokemondb.net/pokedex/paras
047,Parasect,"Bug,Grass",405,60,95,80,60,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/parasect.png,https://pokemondb.net/pokedex/parasect
048,Venonat,"Bug,Poison",305,60,55,50,40,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/venonat.png,https://pokemondb.net/pokedex/venonat
049,Venomoth,"Bug,Poison",450,70,65,60,90,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/venomoth.png,https://pokemondb.net/pokedex/venomoth
050,Diglett,Ground,265,10,55,25,35,45,95,https://img.pokemondb.net/sprites/sword-shield/icon/diglett.png,https://pokemondb.net/pokedex/diglett
050,Diglett-Alolan Diglett,"Ground,Steel",265,10,55,30,35,45,90,https://img.pokemondb.net/sprites/sword-shield/icon/diglett-alolan.png,https://pokemondb.net/pokedex/diglett
051,Dugtrio,Ground,425,35,100,50,50,70,120,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio.png,https://pokemondb.net/pokedex/dugtrio
051,Dugtrio-Alolan Dugtrio,"Ground,Steel",425,35,100,60,50,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/dugtrio-alolan.png,https://pokemondb.net/pokedex/dugtrio
052,Meowth,Normal,290,40,45,35,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth.png,https://pokemondb.net/pokedex/meowth
052,Meowth-Alolan Meowth,Dark,290,40,35,35,50,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-alolan.png,https://pokemondb.net/pokedex/meowth
052,Meowth-Galarian Meowth,Steel,290,50,65,55,40,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/meowth-galarian.png,https://pokemondb.net/pokedex/meowth
053,Persian,Normal,440,65,70,60,65,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian.png,https://pokemondb.net/pokedex/persian
053,Persian-Alolan Persian,Dark,440,65,60,60,75,65,115,https://img.pokemondb.net/sprites/sword-shield/icon/persian-alolan.png,https://pokemondb.net/pokedex/persian
054,Psyduck,Water,320,50,52,48,65,50,55,https://img.pokemondb.net/sprites/sword-shield/icon/psyduck.png,https://pokemondb.net/pokedex/psyduck
055,Golduck,Water,500,80,82,78,95,80,85,https://img.pokemondb.net/sprites/sword-shield/icon/golduck.png,https://pokemondb.net/pokedex/golduck
056,Mankey,Fighting,305,40,80,35,35,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/mankey.png,https://pokemondb.net/pokedex/mankey
057,Primeape,Fighting,455,65,105,60,60,70,95,https://img.pokemondb.net/sprites/sword-shield/icon/primeape.png,https://pokemondb.net/pokedex/primeape
058,Growlithe,Fire,350,55,70,45,70,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/growlithe.png,https://pokemondb.net/pokedex/growlithe
059,Arcanine,Fire,555,90,110,80,100,80,95,https://img.pokemondb.net/sprites/sword-shield/icon/arcanine.png,https://pokemondb.net/pokedex/arcanine
060,Poliwag,Water,300,40,50,40,40,40,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwag.png,https://pokemondb.net/pokedex/poliwag
061,Poliwhirl,Water,385,65,65,65,50,50,90,https://img.pokemondb.net/sprites/sword-shield/icon/poliwhirl.png,https://pokemondb.net/pokedex/poliwhirl
062,Poliwrath,"Water,Fighting",510,90,95,95,70,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/poliwrath.png,https://pokemondb.net/pokedex/poliwrath
063,Abra,Psychic,310,25,20,15,105,55,90,https://img.pokemondb.net/sprites/sword-shield/icon/abra.png,https://pokemondb.net/pokedex/abra
064,Kadabra,Psychic,400,40,35,30,120,70,105,https://img.pokemondb.net/sprites/sword-shield/icon/kadabra.png,https://pokemondb.net/pokedex/kadabra
065,Alakazam,Psychic,500,55,50,45,135,95,120,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam.png,https://pokemondb.net/pokedex/alakazam
065,Alakazam-Mega Alakazam,Psychic,600,55,50,65,175,105,150,https://img.pokemondb.net/sprites/sword-shield/icon/alakazam-mega.png,https://pokemondb.net/pokedex/alakazam
066,Machop,Fighting,305,70,80,50,35,35,35,https://img.pokemondb.net/sprites/sword-shield/icon/machop.png,https://pokemondb.net/pokedex/machop
067,Machoke,Fighting,405,80,100,70,50,60,45,https://img.pokemondb.net/sprites/sword-shield/icon/machoke.png,https://pokemondb.net/pokedex/machoke
068,Machamp,Fighting,505,90,130,80,65,85,55,https://img.pokemondb.net/sprites/sword-shield/icon/machamp.png,https://pokemondb.net/pokedex/machamp
069,Bellsprout,"Grass,Poison",300,50,75,35,70,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/bellsprout.png,https://pokemondb.net/pokedex/bellsprout
070,Weepinbell,"Grass,Poison",390,65,90,50,85,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/weepinbell.png,https://pokemondb.net/pokedex/weepinbell
071,Victreebel,"Grass,Poison",490,80,105,65,100,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/victreebel.png,https://pokemondb.net/pokedex/victreebel
072,Tentacool,"Water,Poison",335,40,40,35,50,100,70,https://img.pokemondb.net/sprites/sword-shield/icon/tentacool.png,https://pokemondb.net/pokedex/tentacool
073,Tentacruel,"Water,Poison",515,80,70,65,80,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/tentacruel.png,https://pokemondb.net/pokedex/tentacruel
074,Geodude,"Rock,Ground",300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude.png,https://pokemondb.net/pokedex/geodude
074,Geodude-Alolan Geodude,"Rock,Electric",300,40,80,100,30,30,20,https://img.pokemondb.net/sprites/sword-shield/icon/geodude-alolan.png,https://pokemondb.net/pokedex/geodude
075,Graveler,"Rock,Ground",390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler.png,https://pokemondb.net/pokedex/graveler
075,Graveler-Alolan Graveler,"Rock,Electric",390,55,95,115,45,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/graveler-alolan.png,https://pokemondb.net/pokedex/graveler
076,Golem,"Rock,Ground",495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem.png,https://pokemondb.net/pokedex/golem
076,Golem-Alolan Golem,"Rock,Electric",495,80,120,130,55,65,45,https://img.pokemondb.net/sprites/sword-shield/icon/golem-alolan.png,https://pokemondb.net/pokedex/golem
077,Ponyta,Fire,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta.png,https://pokemondb.net/pokedex/ponyta
077,Ponyta-Galarian Ponyta,Psychic,410,50,85,55,65,65,90,https://img.pokemondb.net/sprites/sword-shield/icon/ponyta-galarian.png,https://pokemondb.net/pokedex/ponyta
078,Rapidash,Fire,500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash.png,https://pokemondb.net/pokedex/rapidash
078,Rapidash-Galarian Rapidash,"Psychic,Fairy",500,65,100,70,80,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/rapidash-galarian.png,https://pokemondb.net/pokedex/rapidash
079,Slowpoke,"Water,Psychic",315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke.png,https://pokemondb.net/pokedex/slowpoke
079,Slowpoke-Galarian Slowpoke,Psychic,315,90,65,65,40,40,15,https://img.pokemondb.net/sprites/sword-shield/icon/slowpoke-galarian.png,https://pokemondb.net/pokedex/slowpoke
080,Slowbro,"Water,Psychic",490,95,75,110,100,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro.png,https://pokemondb.net/pokedex/slowbro
080,Slowbro-Mega Slowbro,"Water,Psychic",590,95,75,180,130,80,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-mega.png,https://pokemondb.net/pokedex/slowbro
080,Slowbro-Galarian Slowbro,"Poison,Psychic",490,95,100,95,100,70,30,https://img.pokemondb.net/sprites/sword-shield/icon/slowbro-galarian.png,https://pokemondb.net/pokedex/slowbro
081,Magnemite,"Electric,Steel",325,25,35,70,95,55,45,https://img.pokemondb.net/sprites/sword-shield/icon/magnemite.png,https://pokemondb.net/pokedex/magnemite
082,Magneton,"Electric,Steel",465,50,60,95,120,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/magneton.png,https://pokemondb.net/pokedex/magneton
083,Farfetch'd,"Normal,Flying",377,52,90,55,58,62,60,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd.png,https://pokemondb.net/pokedex/farfetchd
083,Farfetch'd-Galarian Farfetch'd,Fighting,377,52,95,55,58,62,55,https://img.pokemondb.net/sprites/sword-shield/icon/farfetchd-galarian.png,https://pokemondb.net/pokedex/farfetchd
084,Doduo,"Normal,Flying",310,35,85,45,35,35,75,https://img.pokemondb.net/sprites/sword-shield/icon/doduo.png,https://pokemondb.net/pokedex/doduo
085,Dodrio,"Normal,Flying",470,60,110,70,60,60,110,https://img.pokemondb.net/sprites/sword-shield/icon/dodrio.png,https://pokemondb.net/pokedex/dodrio
086,Seel,Water,325,65,45,55,45,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/seel.png,https://pokemondb.net/pokedex/seel
087,Dewgong,"Water,Ice",475,90,70,80,70,95,70,https://img.pokemondb.net/sprites/sword-shield/icon/dewgong.png,https://pokemondb.net/pokedex/dewgong
088,Grimer,Poison,325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer.png,https://pokemondb.net/pokedex/grimer
088,Grimer-Alolan Grimer,"Poison,Dark",325,80,80,50,40,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/grimer-alolan.png,https://pokemondb.net/pokedex/grimer
089,Muk,Poison,500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk.png,https://pokemondb.net/pokedex/muk
089,Muk-Alolan Muk,"Poison,Dark",500,105,105,75,65,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/muk-alolan.png,https://pokemondb.net/pokedex/muk
090,Shellder,Water,305,30,65,100,45,25,40,https://img.pokemondb.net/sprites/sword-shield/icon/shellder.png,https://pokemondb.net/pokedex/shellder
091,Cloyster,"Water,Ice",525,50,95,180,85,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/cloyster.png,https://pokemondb.net/pokedex/cloyster
092,Gastly,"Ghost,Poison",310,30,35,30,100,35,80,https://img.pokemondb.net/sprites/sword-shield/icon/gastly.png,https://pokemondb.net/pokedex/gastly
093,Haunter,"Ghost,Poison",405,45,50,45,115,55,95,https://img.pokemondb.net/sprites/sword-shield/icon/haunter.png,https://pokemondb.net/pokedex/haunter
094,Gengar,"Ghost,Poison",500,60,65,60,130,75,110,https://img.pokemondb.net/sprites/sword-shield/icon/gengar.png,https://pokemondb.net/pokedex/gengar
094,Gengar-Mega Gengar,"Ghost,Poison",600,60,65,80,170,95,130,https://img.pokemondb.net/sprites/sword-shield/icon/gengar-mega.png,https://pokemondb.net/pokedex/gengar
095,Onix,"Rock,Ground",385,35,45,160,30,45,70,https://img.pokemondb.net/sprites/sword-shield/icon/onix.png,https://pokemondb.net/pokedex/onix
096,Drowzee,Psychic,328,60,48,45,43,90,42,https://img.pokemondb.net/sprites/sword-shield/icon/drowzee.png,https://pokemondb.net/pokedex/drowzee
097,Hypno,Psychic,483,85,73,70,73,115,67,https://img.pokemondb.net/sprites/sword-shield/icon/hypno.png,https://pokemondb.net/pokedex/hypno
098,Krabby,Water,325,30,105,90,25,25,50,https://img.pokemondb.net/sprites/sword-shield/icon/krabby.png,https://pokemondb.net/pokedex/krabby
099,Kingler,Water,475,55,130,115,50,50,75,https://img.pokemondb.net/sprites/sword-shield/icon/kingler.png,https://pokemondb.net/pokedex/kingler
100,Voltorb,Electric,330,40,30,50,55,55,100,https://img.pokemondb.net/sprites/sword-shield/icon/voltorb.png,https://pokemondb.net/pokedex/voltorb
101,Electrode,Electric,490,60,50,70,80,80,150,https://img.pokemondb.net/sprites/sword-shield/icon/electrode.png,https://pokemondb.net/pokedex/electrode
102,Exeggcute,"Grass,Psychic",325,60,40,80,60,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/exeggcute.png,https://pokemondb.net/pokedex/exeggcute
103,Exeggutor,"Grass,Psychic",530,95,95,85,125,75,55,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor.png,https://pokemondb.net/pokedex/exeggutor
103,Exeggutor-Alolan Exeggutor,"Grass,Dragon",530,95,105,85,125,75,45,https://img.pokemondb.net/sprites/sword-shield/icon/exeggutor-alolan.png,https://pokemondb.net/pokedex/exeggutor
104,Cubone,Ground,320,50,50,95,40,50,35,https://img.pokemondb.net/sprites/sword-shield/icon/cubone.png,https://pokemondb.net/pokedex/cubone
105,Marowak,Ground,425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak.png,https://pokemondb.net/pokedex/marowak
105,Marowak-Alolan Marowak,"Fire,Ghost",425,60,80,110,50,80,45,https://img.pokemondb.net/sprites/sword-shield/icon/marowak-alolan.png,https://pokemondb.net/pokedex/marowak
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonlee.png,https://pokemondb.net/pokedex/hitmonlee
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,https://img.pokemondb.net/sprites/sword-shield/icon/hitmonchan.png,https://pokemondb.net/pokedex/hitmonchan
108,Lickitung,Normal,385,90,55,75,60,75,30,https://img.pokemondb.net/sprites/sword-shield/icon/lickitung.png,https://pokemondb.net/pokedex/lickitung
109,Koffing,Poison,340,40,65,95,60,45,35,https://img.pokemondb.net/sprites/sword-shield/icon/koffing.png,https://pokemondb.net/pokedex/koffing
110,Weezing,Poison,490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing.png,https://pokemondb.net/pokedex/weezing
110,Weezing-Galarian Weezing,"Poison,Fairy",490,65,90,120,85,70,60,https://img.pokemondb.net/sprites/sword-shield/icon/weezing-galarian.png,https://pokemondb.net/pokedex/weezing
111,Rhyhorn,"Ground,Rock",345,80,85,95,30,30,25,https://img.pokemondb.net/sprites/sword-shield/icon/rhyhorn.png,https://pokemondb.net/pokedex/rhyhorn
112,Rhydon,"Ground,Rock",485,105,130,120,45,45,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhydon.png,https://pokemondb.net/pokedex/rhydon
113,Chansey,Normal,450,250,5,5,35,105,50,https://img.pokemondb.net/sprites/sword-shield/icon/chansey.png,https://pokemondb.net/pokedex/chansey
114,Tangela,Grass,435,65,55,115,100,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/tangela.png,https://pokemondb.net/pokedex/tangela
115,Kangaskhan,Normal,490,105,95,80,40,80,90,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan.png,https://pokemondb.net/pokedex/kangaskhan
115,Kangaskhan-Mega Kangaskhan,Normal,590,105,125,100,60,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/kangaskhan-mega.png,https://pokemondb.net/pokedex/kangaskhan
116,Horsea,Water,295,30,40,70,70,25,60,https://img.pokemondb.net/sprites/sword-shield/icon/horsea.png,https://pokemondb.net/pokedex/horsea
117,Seadra,Water,440,55,65,95,95,45,85,https://img.pokemondb.net/sprites/sword-shield/icon/seadra.png,https://pokemondb.net/pokedex/seadra
118,Goldeen,Water,320,45,67,60,35,50,63,https://img.pokemondb.net/sprites/sword-shield/icon/goldeen.png,https://pokemondb.net/pokedex/goldeen
119,Seaking,Water,450,80,92,65,65,80,68,https://img.pokemondb.net/sprites/sword-shield/icon/seaking.png,https://pokemondb.net/pokedex/seaking
120,Staryu,Water,340,30,45,55,70,55,85,https://img.pokemondb.net/sprites/sword-shield/icon/staryu.png,https://pokemondb.net/pokedex/staryu
121,Starmie,"Water,Psychic",520,60,75,85,100,85,115,https://img.pokemondb.net/sprites/sword-shield/icon/starmie.png,https://pokemondb.net/pokedex/starmie
122,Mr. Mime,"Psychic,Fairy",460,40,45,65,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime.png,https://pokemondb.net/pokedex/mr-mime
122,Mr. Mime-Galarian Mr. Mime,"Ice,Psychic",460,50,65,65,90,90,100,https://img.pokemondb.net/sprites/sword-shield/icon/mr-mime-galarian.png,https://pokemondb.net/pokedex/mr-mime
123,Scyther,"Bug,Flying",500,70,110,80,55,80,105,https://img.pokemondb.net/sprites/sword-shield/icon/scyther.png,https://pokemondb.net/pokedex/scyther
124,Jynx,"Ice,Psychic",455,65,50,35,115,95,95,https://img.pokemondb.net/sprites/sword-shield/icon/jynx.png,https://pokemondb.net/pokedex/jynx
125,Electabuzz,Electric,490,65,83,57,95,85,105,https://img.pokemondb.net/sprites/sword-shield/icon/electabuzz.png,https://pokemondb.net/pokedex/electabuzz
126,Magmar,Fire,495,65,95,57,100,85,93,https://img.pokemondb.net/sprites/sword-shield/icon/magmar.png,https://pokemondb.net/pokedex/magmar
127,Pinsir,Bug,500,65,125,100,55,70,85,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir.png,https://pokemondb.net/pokedex/pinsir
127,Pinsir-Mega Pinsir,"Bug,Flying",600,65,155,120,65,90,105,https://img.pokemondb.net/sprites/sword-shield/icon/pinsir-mega.png,https://pokemondb.net/pokedex/pinsir
128,Tauros,Normal,490,75,100,95,40,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/tauros.png,https://pokemondb.net/pokedex/tauros
129,Magikarp,Water,200,20,10,55,15,20,80,https://img.pokemondb.net/sprites/sword-shield/icon/magikarp.png,https://pokemondb.net/pokedex/magikarp
